Estación,Longitud,Latitud,Cluster
626,-99.16303695,19.42752465,3
627,-99.16485733,19.42715193,3
628,-99.16631085,19.42765654,3
629,-99.1668002,19.42742036,3
630,-99.16686692,19.42746815,3
631,-99.16620274,19.42724983,3
632,-99.1669157,19.42803946,3
633,-99.16389926,19.42863562,3
634,-99.16247624,19.4286878,3
635,-99.1649983,19.42892046,3
636,-99.16436577,19.42814959,3
637,-99.16522917,19.42853145,3
638,-99.16407774,19.42889628,3
639,-99.16365883,19.42811384,3
640,-99.1619935,19.42827344,3
641,-99.15170296,19.43451146,3
642,-99.15246007,19.43394302,3
643,-99.14965917,19.43440104,3
644,-99.15230057,19.43377242,3
645,-99.1508429,19.43420429,3
646,-99.1573428,19.43028815,3
647,-99.15725937,19.43082571,3
648,-99.1588493,19.43111118,3
649,-99.16050308,19.4306934,3
650,-99.15978358,19.43069581,3
651,-99.15950132,19.43097531,3
652,-99.15834728,19.43077251,3
653,-99.15923082,19.43101732,3
654,-99.16019782,19.43041048,3
655,-99.15740349,19.43071664,3
656,-99.16088072,19.43084927,3
657,-99.16984171,19.42492492,3
658,-99.17061944,19.42520899,3
659,-99.16709395,19.42508605,3
660,-99.17092714,19.42480621,3
661,-99.16742673,19.42533175,3
662,-99.16741181,19.42483227,3
663,-99.1701687,19.42478712,3
664,-99.16948492,19.42491191,3
665,-99.14525755,19.43649902,3
666,-99.14521109,19.43659719,3
667,-99.14736898,19.43606238,3
668,-99.14769929,19.43651407,3
669,-99.14468361,19.43667264,3
670,-99.14639462,19.43668819,3
671,-99.14583875,19.43602395,3
672,-99.14751529,19.43642798,3
673,-99.14578236,19.43689527,3
674,-99.14415339,19.43594471,3
675,-99.14728914,19.43628628,3
676,-99.16138463,19.42822358,3
677,-99.15914015,19.42761955,3
678,-99.15981699,19.42787341,3
679,-99.16276766,19.42813469,3
680,-99.16180574,19.42797629,3
681,-99.16261517,19.42793097,3
682,-99.16272073,19.42750372,3
683,-99.15874515,19.42749185,3
684,-99.16082461,19.42819894,3
685,-99.1600208,19.42748132,3
686,-99.16209907,19.42825313,3
687,-99.15596538,19.42924873,3
688,-99.15568528,19.4295243,3
689,-99.15767402,19.42969288,3
690,-99.15684646,19.4292397,3
691,-99.15756907,19.42929908,3
692,-99.15947425,19.42891202,3
693,-99.15664114,19.42938444,3
694,-99.15796283,19.42966599,3
695,-99.15605057,19.42925814,3
696,-99.15521312,19.42982994,3
697,-99.1582564,19.42943678,3
698,-99.1683498,19.42397488,3
699,-99.16815432,19.4239468,3
700,-99.16527242,19.42372797,3
701,-99.16472096,19.42450173,3
702,-99.16797417,19.42458937,3
703,-99.164286,19.42399991,3
704,-99.16567594,19.42393084,3
705,-99.16447577,19.42412704,3
706,-99.16509766,19.42460238,3
707,-99.16604757,19.42428467,3
708,-99.16473359,19.42419315,3
709,-99.16448507,19.42610012,3
710,-99.16175089,19.42585742,3
711,-99.16120958,19.42590202,3
712,-99.160438,19.42524888,3
